"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WAAREEENER","EQ","28-Aug-2026","2,624.00","2,623.90","2,650.00","2,593.20","2,640.00","2,640.00","2,624.33","4,88,508","1,28,20,06,472.90","31,371","1,45,600","29.81"
"WAAREEENER","EQ","27-Aug-2026","2,635.00","2,637.60","2,649.90","2,611.00","2,624.00","2,624.00","2,625.62","3,32,552","87,31,54,888.70","22,369","1,72,365","51.83"
"WAAREEENER","EQ","26-Aug-2026","2,655.00","2,662.00","2,669.60","2,631.00","2,635.00","2,635.00","2,647.46","3,10,622","82,23,59,563.40","22,697","1,45,720","46.91"
"WAAREEENER","EQ","25-Aug-2026","2,674.80","2,670.00","2,687.70","2,644.00","2,655.00","2,655.00","2,656.50","4,23,255","1,12,43,76,096.00","27,996","1,37,437","32.47"
"WAAREEENER","EQ","24-Aug-2026","2,678.20","2,680.00","2,713.00","2,637.00","2,674.80","2,674.80","2,665.53","6,02,522","1,60,60,42,577.00","34,643","2,01,199","33.39"
